Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-01-23 00:00:00,0.40030000,0.40140000,0.39930000,0.40060000,5535073.00000000,2023-01-23 00:29:59.999000,2217001.49020000,2368,2808247.00000000,1124604.51650000
2023-01-23 00:30:00,0.40060000,0.40120000,0.40010000,0.40040000,3228701.00000000,2023-01-23 00:59:59.999000,1293527.40340000,1640,1382196.00000000,553753.26980000
2023-01-23 01:00:00,0.40040000,0.40240000,0.39950000,0.40210000,14637245.00000000,2023-01-23 01:29:59.999000,5875539.14250000,4997,5670200.00000000,2276032.22680000
2023-01-23 01:30:00,0.40210000,0.40410000,0.40190000,0.40360000,9438720.00000000,2023-01-23 01:59:59.999000,3804358.13710000,3307,4239520.00000000,1708579.91590000
2023-01-23 02:00:00,0.40360000,0.41240000,0.40350000,0.40940000,21953558.00000000,2023-01-23 02:29:59.999000,8980797.85900000,11273,9333613.00000000,3815631.86790000
2023-01-23 02:30:00,0.40940000,0.40970000,0.40620000,0.40650000,9441847.00000000,2023-01-23 02:59:59.999000,3852525.64640000,3668,3575014.00000000,1458833.68150000
2023-01-23 03:00:00,0.40660000,0.40900000,0.40620000,0.40840000,7933558.00000000,2023-01-23 03:29:59.999000,3233987.21630000,3278,3811251.00000000,1553926.56690000
2023-01-23 03:30:00,0.40840000,0.41020000,0.40780000,0.40900000,5686846.00000000,2023-01-23 03:59:59.999000,2325949.43490000,2924,2765705.00000000,1131094.72680000
2023-01-23 04:00:00,0.40900000,0.41030000,0.40830000,0.40930000,6602567.00000000,2023-01-23 04:29:59.999000,2703684.24520000,2967,2898883.00000000,1187121.37440000
2023-01-23 04:30:00,0.40930000,0.40950000,0.40500000,0.40510000,9272682.00000000,2023-01-23 04:59:59.999000,3774291.84250000,3778,3529981.00000000,1436804.93440000
2023-01-23 05:00:00,0.40510000,0.40570000,0.40380000,0.40430000,9605383.00000000,2023-01-23 05:29:59.999000,3886701.56890000,3817,4761880.00000000,1926684.99980000
2023-01-23 05:30:00,0.40430000,0.40650000,0.40400000,0.40650000,7594039.00000000,2023-01-23 05:59:59.999000,3074239.41790000,3044,4278372.00000000,1731959.24500000
2023-01-23 06:00:00,0.40650000,0.40750000,0.40570000,0.40710000,5865071.00000000,2023-01-23 06:29:59.999000,2385445.78050000,2303,3597458.00000000,1463094.33820000
2023-01-23 06:30:00,0.40700000,0.40810000,0.40520000,0.40750000,4901481.00000000,2023-01-23 06:59:59.999000,1994025.22740000,2220,2590925.00000000,1054390.32180000
