Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-06-18 00:00:00,26525.40000000,26595.13000000,26524.25000000,26550.00000000,404.22235000,2023-06-18 00:29:59.999000,10737395.65021490,9906,264.77714000,7033073.65669830
2023-06-18 00:30:00,26550.01000000,26571.32000000,26542.81000000,26570.15000000,162.81502000,2023-06-18 00:59:59.999000,4323505.71432710,5919,74.82105000,1986862.28534060
2023-06-18 01:00:00,26570.15000000,26574.30000000,26499.48000000,26513.27000000,208.44469000,2023-06-18 01:29:59.999000,5532224.48061590,7697,67.60238000,1794550.39713820
2023-06-18 01:30:00,26513.26000000,26535.35000000,26495.00000000,26516.99000000,192.53619000,2023-06-18 01:59:59.999000,5104777.47965160,6384,89.30580000,2367828.53940650
2023-06-18 02:00:00,26516.99000000,26539.61000000,26428.12000000,26487.64000000,540.01816000,2023-06-18 02:29:59.999000,14303625.21766850,15065,236.53539000,6263995.32159610
2023-06-18 02:30:00,26487.63000000,26487.64000000,26378.98000000,26453.96000000,791.56472000,2023-06-18 02:59:59.999000,20925207.48565520,17163,352.91722000,9329870.99735370
2023-06-18 03:00:00,26453.95000000,26458.96000000,26427.28000000,26458.95000000,190.89980000,2023-06-18 03:29:59.999000,5048999.92514930,7672,92.69813000,2451728.23931210
2023-06-18 03:30:00,26458.96000000,26496.24000000,26444.31000000,26492.12000000,174.42225000,2023-06-18 03:59:59.999000,4617089.89617420,6842,96.29615000,2549132.12120740
2023-06-18 04:00:00,26492.12000000,26517.62000000,26468.68000000,26468.69000000,164.03919000,2023-06-18 04:29:59.999000,4346536.24790640,6915,74.63104000,1977634.55632560
2023-06-18 04:30:00,26468.69000000,26480.00000000,26460.13000000,26475.52000000,102.98360000,2023-06-18 04:59:59.999000,2726227.36099240,5423,42.57993000,1127138.76127070
2023-06-18 05:00:00,26475.53000000,26518.08000000,26475.52000000,26518.07000000,215.49758000,2023-06-18 05:29:59.999000,5709590.68065160,7166,110.96880000,2940060.65551120
2023-06-18 05:30:00,26518.08000000,26548.63000000,26516.92000000,26548.45000000,218.24377000,2023-06-18 05:59:59.999000,5792019.31365660,8744,119.15466000,3162302.02804600
2023-06-18 06:00:00,26548.46000000,26559.63000000,26521.89000000,26524.81000000,305.43442000,2023-06-18 06:29:59.999000,8105017.17689750,7957,156.25611000,4146388.63273300
2023-06-18 06:30:00,26524.81000000,26550.78000000,26494.46000000,26535.51000000,173.18550000,2023-06-18 06:59:59.999000,4594132.94351010,7602,95.16817000,2524688.65442200
2023-06-18 07:00:00,26535.51000000,26640.83000000,26535.50000000,26600.31000000,761.28593000,2023-06-18 07:29:59.999000,20240909.72707870,14852,445.46433000,11841256.76287390
2023-06-18 07:30:00,26600.30000000,26641.96000000,26534.03000000,26540.01000000,608.83649000,2023-06-18 07:59:59.999000,16193937.00914410,15632,270.78802000,7203940.22781370
