Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-06-02 17:33:00,27014.52000000,27014.53000000,27007.49000000,27014.34000000,13.68092000,2023-06-02 17:33:59.999000,369541.33012910,418,6.71599000,181406.60417450
2023-06-02 17:34:00,27014.35000000,27014.35000000,27002.54000000,27002.55000000,12.57443000,2023-06-02 17:34:59.999000,339589.57749830,359,3.59493000,97083.00596100
2023-06-02 17:35:00,27002.54000000,27002.55000000,26999.33000000,26999.33000000,8.54909000,2023-06-02 17:35:59.999000,230838.52620060,287,1.31917000,35619.78305090
2023-06-02 17:36:00,26999.33000000,27000.00000000,26994.56000000,26999.99000000,21.50294000,2023-06-02 17:36:59.999000,580498.59572070,506,16.38002000,442192.07068080
2023-06-02 17:37:00,27000.00000000,27006.88000000,27000.00000000,27006.88000000,7.41971000,2023-06-02 17:37:59.999000,200372.76599570,247,4.57002000,123411.79602200
2023-06-02 17:38:00,27006.88000000,27006.88000000,26995.36000000,26995.36000000,16.39480000,2023-06-02 17:38:59.999000,442700.40061560,378,2.23054000,60227.73040510
2023-06-02 17:39:00,26995.36000000,27000.92000000,26995.36000000,27000.92000000,6.92653000,2023-06-02 17:39:59.999000,186995.03117200,278,3.60310000,97273.72627720
2023-06-02 17:40:00,27000.91000000,27008.78000000,27000.91000000,27008.78000000,8.48068000,2023-06-02 17:40:59.999000,229015.96638620,285,6.38152000,172326.98060980
2023-06-02 17:41:00,27008.77000000,27008.78000000,27004.89000000,27004.90000000,10.61887000,2023-06-02 17:41:59.999000,286778.01917720,313,0.89452000,24156.56613630
2023-06-02 17:42:00,27004.90000000,27037.06000000,27004.89000000,27031.16000000,32.63629000,2023-06-02 17:42:59.999000,881983.85657030,834,23.07738000,623596.54779610
2023-06-02 17:43:00,27031.15000000,27031.16000000,27015.01000000,27015.01000000,14.16627000,2023-06-02 17:43:59.999000,382792.71491090,395,5.20521000,140631.83182500
2023-06-02 17:44:00,27015.02000000,27015.02000000,27001.46000000,27001.47000000,10.35951000,2023-06-02 17:44:59.999000,279784.27302120,404,1.08223000,29228.08202600
2023-06-02 17:45:00,27001.47000000,27002.00000000,27001.46000000,27001.99000000,9.59786000,2023-06-02 17:45:59.999000,259157.41861790,293,5.25581000,141915.09401990
2023-06-02 17:46:00,27002.00000000,27016.81000000,27001.99000000,27012.35000000,21.88723000,2023-06-02 17:46:59.999000,591139.31529960,516,13.85912000,374327.45040880
2023-06-02 17:47:00,27012.34000000,27016.28000000,27007.84000000,27007.85000000,13.59085000,2023-06-02 17:47:59.999000,367142.10140250,405,8.60734000,232517.17548830
2023-06-02 17:48:00,27007.84000000,27011.50000000,27000.00000000,27011.50000000,12.48179000,2023-06-02 17:48:59.999000,337081.26684530,459,4.68777000,126592.11816780
2023-06-02 17:49:00,27011.50000000,27016.27000000,27011.49000000,27016.27000000,4.63157000,2023-06-02 17:49:59.999000,125120.10251870,226,3.04049000,82136.80532570
2023-06-02 17:50:00,27016.26000000,27016.27000000,27013.42000000,27014.41000000,13.31378000,2023-06-02 17:50:59.999000,359663.54231610,303,6.76450000,182733.73336800
2023-06-02 17:51:00,27014.41000000,27035.60000000,27014.41000000,27035.60000000,23.91212000,2023-06-02 17:51:59.999000,646240.35962550,556,16.61792000,449120.12796120
2023-06-02 17:52:00,27035.60000000,27057.92000000,27035.59000000,27057.92000000,64.73597000,2023-06-02 17:52:59.999000,1751063.25755990,1232,44.60279000,1206461.34050160
2023-06-02 17:53:00,27057.91000000,27063.27000000,27056.44000000,27056.45000000,25.26216000,2023-06-02 17:53:59.999000,683595.28444680,590,15.29551000,413882.76698850
2023-06-02 17:54:00,27056.44000000,27082.18000000,27056.44000000,27082.17000000,33.38905000,2023-06-02 17:54:59.999000,903815.00159730,1150,23.16090000,626933.59672670
2023-06-02 17:55:00,27082.17000000,27082.18000000,27063.86000000,27065.24000000,31.62425000,2023-06-02 17:55:59.999000,856109.65077630,592,7.10202000,192219.61161880
2023-06-02 17:56:00,27065.25000000,27065.74000000,27060.00000000,27065.73000000,17.69786000,2023-06-02 17:56:59.999000,478956.52142850,482,7.07176000,191379.68116550
2023-06-02 17:57:00,27065.74000000,27091.21000000,27062.35000000,27085.80000000,45.16956000,2023-06-02 17:57:59.999000,1223067.17137800,1041,36.01691000,975257.88738480
2023-06-02 17:58:00,27085.81000000,27106.80000000,27085.81000000,27100.46000000,56.90529000,2023-06-02 17:58:59.999000,1542077.89642980,1359,34.12991000,924853.63373860
2023-06-02 17:59:00,27100.47000000,27107.34000000,27095.92000000,27095.92000000,20.45161000,2023-06-02 17:59:59.999000,554298.72544840,594,4.64481000,125885.44566390
2023-06-02 18:00:00,27095.93000000,27112.65000000,27093.00000000,27100.34000000,45.74260000,2023-06-02 18:00:59.999000,1239774.86017970,1028,17.18155000,465631.42604710
2023-06-02 18:01:00,27100.34000000,27100.34000000,27059.40000000,27072.83000000,72.11714000,2023-06-02 18:01:59.999000,1952539.25975920,1171,27.51473000,744813.09775440
2023-06-02 18:02:00,27072.83000000,27072.84000000,27060.53000000,27061.99000000,25.66695000,2023-06-02 18:02:59.999000,694667.54272180,532,6.98703000,189101.65335940
2023-06-02 18:03:00,27061.98000000,27070.42000000,27060.00000000,27060.00000000,36.72920000,2023-06-02 18:03:59.999000,994054.03930790,757,18.92871000,512276.10406160
2023-06-02 18:04:00,27060.01000000,27067.89000000,27060.00000000,27067.89000000,22.24817000,2023-06-02 18:04:59.999000,602124.22265770,408,15.23576000,412338.97001550
2023-06-02 18:05:00,27067.88000000,27093.75000000,27064.78000000,27093.75000000,24.24834000,2023-06-02 18:05:59.999000,656547.24576550,842,17.54047000,474964.39611170
2023-06-02 18:06:00,27093.75000000,27120.02000000,27093.74000000,27114.29000000,54.51332000,2023-06-02 18:06:59.999000,1477872.14730820,1056,39.76883000,1078093.44073450
