Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2021-01-13 00:00:00,33751.70000000,34044.00000000,33282.01000000,33952.46000000,1680.59896900,2021-01-13 00:14:59.999000,56474840.01786665,37059,772.04566400,25961191.84844989
2021-01-13 00:15:00,33958.18000000,34031.13000000,33260.74000000,33458.63000000,1648.69747800,2021-01-13 00:29:59.999000,55385783.29660419,31503,722.38624500,24279503.38499524
2021-01-13 00:30:00,33461.98000000,33912.23000000,33292.91000000,33812.00000000,2039.63037800,2021-01-13 00:44:59.999000,68431178.26623386,33830,1051.23544700,35282086.81727588
2021-01-13 00:45:00,33812.00000000,34138.84000000,33615.76000000,34051.24000000,1013.00516700,2021-01-13 00:59:59.999000,34309731.25957981,23991,513.42702300,17394348.89995432
2021-01-13 01:00:00,34049.15000000,34049.15000000,33459.36000000,33821.49000000,1446.63016900,2021-01-13 01:14:59.999000,48778168.54351899,29289,685.79176200,23122721.59587569
2021-01-13 01:15:00,33822.48000000,33932.19000000,32897.27000000,33081.26000000,2373.56822800,2021-01-13 01:29:59.999000,78896699.46131492,38570,809.50913100,26952763.53702672
2021-01-13 01:30:00,33081.25000000,33254.23000000,32800.00000000,33174.21000000,1973.31209100,2021-01-13 01:44:59.999000,65109819.44692076,33580,847.35191200,27968223.36868514
2021-01-13 01:45:00,33174.20000000,33199.00000000,32380.00000000,32526.50000000,3481.76886100,2021-01-13 01:59:59.999000,113926857.87337978,47109,1719.44548800,56271453.26180999
2021-01-13 02:00:00,32526.93000000,33186.49000000,32487.11000000,33129.33000000,1980.79687100,2021-01-13 02:14:59.999000,65066274.91079398,34056,998.55572200,32810385.92847313
2021-01-13 02:15:00,33129.33000000,33188.40000000,32500.00000000,32600.04000000,1307.32496100,2021-01-13 02:29:59.999000,42993706.96718261,24969,598.62312000,19684908.48551317
2021-01-13 02:30:00,32600.04000000,33028.66000000,32553.58000000,32682.86000000,1274.80560700,2021-01-13 02:44:59.999000,41817425.90893778,22656,681.71950700,22368664.28497807
2021-01-13 02:45:00,32682.86000000,33450.00000000,32682.85000000,33124.06000000,1668.79010600,2021-01-13 02:59:59.999000,55238692.39420411,28418,966.60924100,32006456.33525182
2021-01-13 03:00:00,33125.30000000,33551.55000000,33071.42000000,33215.12000000,1563.54439100,2021-01-13 03:14:59.999000,52135968.69542790,26172,844.06831900,28140548.55049764
2021-01-13 03:15:00,33215.12000000,33395.75000000,32750.00000000,32801.81000000,1301.89081400,2021-01-13 03:29:59.999000,43045849.96422695,24663,584.44175000,19333227.60932721
2021-01-13 03:30:00,32801.82000000,32873.92000000,32566.55000000,32845.70000000,1331.63975300,2021-01-13 03:44:59.999000,43563542.93252603,24766,597.70246800,19560324.11164516
