Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-01-25 00:00:00,1562.17000000,1565.27000000,1544.69000000,1555.43000000,28115.29360000,2023-01-25 00:29:59.999000,43729726.74674900,31892,12505.77080000,19448616.59938500
2023-01-25 00:30:00,1555.42000000,1557.39000000,1546.18000000,1555.97000000,18410.16230000,2023-01-25 00:59:59.999000,28581511.85508000,21059,8938.11550000,13877713.90697700
2023-01-25 01:00:00,1555.97000000,1557.00000000,1541.53000000,1545.74000000,21626.32190000,2023-01-25 01:29:59.999000,33504085.29373000,24741,9776.95970000,15144370.11766900
2023-01-25 01:30:00,1545.73000000,1555.85000000,1541.78000000,1548.88000000,20582.52980000,2023-01-25 01:59:59.999000,31912877.85132200,24826,10683.99900000,16564690.58044200
2023-01-25 02:00:00,1548.89000000,1550.47000000,1518.00000000,1527.68000000,54054.21630000,2023-01-25 02:29:59.999000,82816211.19023500,48021,25455.33890000,38995377.52274300
2023-01-25 02:30:00,1527.79000000,1536.25000000,1526.63000000,1535.00000000,13033.89030000,2023-01-25 02:59:59.999000,19984002.74984000,17150,7513.89090000,11521141.53996500
2023-01-25 03:00:00,1534.99000000,1541.98000000,1534.21000000,1541.72000000,8018.22450000,2023-01-25 03:29:59.999000,12335168.51131200,11453,4892.78470000,7526449.47800000
2023-01-25 03:30:00,1541.71000000,1543.06000000,1539.37000000,1540.87000000,5848.02640000,2023-01-25 03:59:59.999000,9011506.13389800,9991,3168.44460000,4882562.45026000
2023-01-25 04:00:00,1540.87000000,1545.64000000,1540.28000000,1544.78000000,7733.27340000,2023-01-25 04:29:59.999000,11935397.80283400,9552,4758.60360000,7344664.43682300
2023-01-25 04:30:00,1544.78000000,1546.88000000,1543.87000000,1546.63000000,4922.51220000,2023-01-25 04:59:59.999000,7605695.88700700,6530,3019.86570000,4666040.30291000
2023-01-25 05:00:00,1546.63000000,1549.01000000,1545.92000000,1548.27000000,4969.48160000,2023-01-25 05:29:59.999000,7688416.52548300,7390,2935.57470000,4541955.80186100
2023-01-25 05:30:00,1548.27000000,1548.78000000,1545.83000000,1546.17000000,4385.92670000,2023-01-25 05:59:59.999000,6787233.25719100,7234,2327.91480000,3602381.55662400
2023-01-25 06:00:00,1546.17000000,1549.64000000,1545.20000000,1548.85000000,4321.57070000,2023-01-25 06:29:59.999000,6686422.40339300,6842,2501.47560000,3870382.50754400
2023-01-25 06:30:00,1548.85000000,1551.74000000,1545.37000000,1549.14000000,6492.97600000,2023-01-25 06:59:59.999000,10052536.22488600,9012,3547.00010000,5491136.64496600
2023-01-25 07:00:00,1549.14000000,1551.00000000,1546.27000000,1550.90000000,7520.94810000,2023-01-25 07:29:59.999000,11647618.66700300,11685,4304.53350000,6667095.50448000
2023-01-25 07:30:00,1550.90000000,1557.03000000,1550.79000000,1555.16000000,9349.10080000,2023-01-25 07:59:59.999000,14527326.28887300,15636,5306.38890000,8245318.21707100
