Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-05-25 16:00:00,1799.56000000,1803.66000000,1799.55000000,1802.88000000,980.26710000,2023-05-25 16:00:59.999000,1766332.56350000,1231,581.50070000,1047632.70503800
2023-05-25 16:01:00,1802.89000000,1802.89000000,1801.44000000,1801.60000000,295.81500000,2023-05-25 16:01:59.999000,533126.98464700,392,192.99980000,347840.91219700
2023-05-25 16:02:00,1801.60000000,1802.00000000,1801.22000000,1801.42000000,223.74650000,2023-05-25 16:02:59.999000,403116.54759300,328,128.63310000,231745.29853100
2023-05-25 16:03:00,1801.42000000,1801.97000000,1801.21000000,1801.80000000,289.54170000,2023-05-25 16:03:59.999000,521667.78466000,346,243.87640000,439393.19149300
2023-05-25 16:04:00,1801.79000000,1802.17000000,1800.85000000,1800.86000000,261.83530000,2023-05-25 16:04:59.999000,471726.00854100,475,141.10830000,254209.79349200
2023-05-25 16:05:00,1800.86000000,1801.95000000,1800.41000000,1800.42000000,297.58730000,2023-05-25 16:05:59.999000,536105.67837200,409,134.96280000,243144.47470000
2023-05-25 16:06:00,1800.42000000,1801.33000000,1799.64000000,1799.64000000,647.72920000,2023-05-25 16:06:59.999000,1166178.52425800,600,139.40250000,250973.36866000
2023-05-25 16:07:00,1799.64000000,1799.65000000,1795.64000000,1796.19000000,650.34610000,2023-05-25 16:07:59.999000,1168733.11006100,974,264.87560000,475946.92889100
2023-05-25 16:08:00,1796.20000000,1797.04000000,1795.97000000,1796.78000000,226.77710000,2023-05-25 16:08:59.999000,407388.57642900,417,150.70570000,270722.60642500
2023-05-25 16:09:00,1796.78000000,1797.20000000,1795.80000000,1795.81000000,259.90360000,2023-05-25 16:09:59.999000,466961.70181800,462,21.26620000,38208.48666700
2023-05-25 16:10:00,1795.80000000,1795.81000000,1794.70000000,1795.31000000,311.22740000,2023-05-25 16:10:59.999000,558701.81246300,463,141.92340000,254760.94198500
2023-05-25 16:11:00,1795.31000000,1795.53000000,1794.05000000,1795.53000000,318.25680000,2023-05-25 16:11:59.999000,571194.29193600,499,198.05720000,355464.81082600
2023-05-25 16:12:00,1795.53000000,1796.29000000,1795.52000000,1796.28000000,181.87550000,2023-05-25 16:12:59.999000,326654.75438000,226,158.02880000,283829.31630800
2023-05-25 16:13:00,1796.28000000,1797.03000000,1795.60000000,1796.85000000,317.08200000,2023-05-25 16:13:59.999000,569549.02302900,398,208.23090000,374037.22476100
2023-05-25 16:14:00,1796.86000000,1797.00000000,1795.49000000,1795.50000000,257.18860000,2023-05-25 16:14:59.999000,461903.04163600,303,56.60060000,101648.63930400
2023-05-25 16:15:00,1795.50000000,1796.61000000,1794.14000000,1796.61000000,435.61430000,2023-05-25 16:15:59.999000,782041.11818100,529,367.18350000,659195.46579000
2023-05-25 16:16:00,1796.61000000,1796.76000000,1795.60000000,1795.81000000,175.29950000,2023-05-25 16:16:59.999000,314852.40152500,294,45.00080000,80813.11252600
2023-05-25 16:17:00,1795.81000000,1795.82000000,1795.33000000,1795.56000000,92.67210000,2023-05-25 16:17:59.999000,166398.67267000,212,38.31930000,68802.98141500
