Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-01-15 00:00:00,1551.06000000,1553.72000000,1544.61000000,1552.65000000,7633.12230000,2023-01-15 00:29:59.999000,11829768.92112900,12995,3965.01680000,6144581.29934900
2023-01-15 00:30:00,1552.64000000,1554.43000000,1549.35000000,1549.90000000,6977.98140000,2023-01-15 00:59:59.999000,10828908.08702500,11796,3324.80720000,5160166.28060200
2023-01-15 01:00:00,1549.91000000,1552.22000000,1542.28000000,1543.29000000,11706.85090000,2023-01-15 01:29:59.999000,18107680.66213400,18190,4855.09950000,7509450.91275300
2023-01-15 01:30:00,1543.28000000,1543.29000000,1516.12000000,1527.99000000,32916.75270000,2023-01-15 01:59:59.999000,50230605.69883700,41677,15541.18280000,23710298.93477300
2023-01-15 02:00:00,1528.00000000,1530.28000000,1519.51000000,1522.04000000,10527.27230000,2023-01-15 02:29:59.999000,16043465.34672200,16257,4593.64260000,7000216.47709300
2023-01-15 02:30:00,1522.05000000,1529.99000000,1521.90000000,1528.40000000,5869.82000000,2023-01-15 02:59:59.999000,8957353.31180200,9395,3495.08540000,5333182.58009300
2023-01-15 03:00:00,1528.40000000,1531.35000000,1524.60000000,1527.28000000,4393.77980000,2023-01-15 03:29:59.999000,6712708.35021900,8549,2057.50360000,3143325.17297200
2023-01-15 03:30:00,1527.29000000,1529.55000000,1519.71000000,1522.23000000,5652.07500000,2023-01-15 03:59:59.999000,8612142.96311300,9997,2560.88320000,3902077.12175300
2023-01-15 04:00:00,1522.23000000,1526.85000000,1516.03000000,1521.53000000,10559.96920000,2023-01-15 04:29:59.999000,16065852.19024400,14296,4912.54550000,7474334.34678500
2023-01-15 04:30:00,1521.53000000,1526.42000000,1520.22000000,1525.40000000,4487.10330000,2023-01-15 04:59:59.999000,6834202.25744700,8455,2602.95650000,3963962.46141500
2023-01-15 05:00:00,1525.40000000,1527.74000000,1525.39000000,1526.90000000,2739.67130000,2023-01-15 05:29:59.999000,4183105.13739100,6273,1569.85220000,2396838.88956000
2023-01-15 05:30:00,1526.90000000,1529.17000000,1524.71000000,1526.64000000,3543.93040000,2023-01-15 05:59:59.999000,5411400.73642900,7429,1776.02800000,2712323.49828200
2023-01-15 06:00:00,1526.63000000,1529.67000000,1524.33000000,1529.02000000,4245.94800000,2023-01-15 06:29:59.999000,6484006.15355400,7633,2083.19420000,3181794.44003600
2023-01-15 06:30:00,1529.01000000,1530.25000000,1526.47000000,1528.42000000,3428.74000000,2023-01-15 06:59:59.999000,5241913.07751800,6827,1711.29670000,2616506.29977500
2023-01-15 07:00:00,1528.42000000,1529.44000000,1526.86000000,1528.48000000,2050.76450000,2023-01-15 07:29:59.999000,3133363.36227200,5660,851.35040000,1300712.10780000
2023-01-15 07:30:00,1528.49000000,1529.61000000,1524.30000000,1525.72000000,3065.27480000,2023-01-15 07:59:59.999000,4680532.26238800,7361,1546.71320000,2361910.14477300
2023-01-15 08:00:00,1525.73000000,1525.83000000,1521.54000000,1523.89000000,4366.97910000,2023-01-15 08:29:59.999000,6655192.17169100,9852,1652.53360000,2518374.30557400
2023-01-15 08:30:00,1523.90000000,1529.17000000,1523.32000000,1529.16000000,4133.83820000,2023-01-15 08:59:59.999000,6312253.23032900,7737,2097.85730000,3203106.64981400
