Timestamp,Open,High,Low,Close,Volume,Kline_Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
2023-01-29 00:00:00,1564.70000000,1569.93000000,1562.30000000,1569.92000000,3435.77860000,2023-01-29 00:29:59.999000,5382616.05342000,7058,2051.32900000,3213195.93012100
2023-01-29 00:30:00,1569.93000000,1574.06000000,1567.00000000,1572.10000000,6866.62990000,2023-01-29 00:59:59.999000,10782120.08838900,8429,4139.81060000,6501051.74346800
2023-01-29 01:00:00,1572.10000000,1573.33000000,1566.33000000,1573.33000000,6157.02850000,2023-01-29 01:29:59.999000,9668313.81804100,11543,3107.33590000,4878815.75429400
2023-01-29 01:30:00,1573.33000000,1587.65000000,1573.32000000,1584.84000000,14357.22620000,2023-01-29 01:59:59.999000,22725322.26771000,19981,8002.72770000,12666085.64256600
2023-01-29 02:00:00,1584.84000000,1618.99000000,1584.83000000,1613.33000000,52596.71240000,2023-01-29 02:29:59.999000,84445888.76562100,50891,29776.95260000,47798186.78957100
2023-01-29 02:30:00,1613.33000000,1617.28000000,1601.00000000,1602.70000000,17985.84220000,2023-01-29 02:59:59.999000,28956664.09227000,21113,8557.59740000,13780693.75196600
2023-01-29 03:00:00,1602.69000000,1607.26000000,1582.45000000,1593.70000000,21088.57110000,2023-01-29 03:29:59.999000,33583743.42285200,26035,10307.83650000,16415888.91228400
2023-01-29 03:30:00,1593.70000000,1595.72000000,1585.25000000,1592.00000000,7552.50720000,2023-01-29 03:59:59.999000,12024444.70245600,10919,4026.23180000,6410091.89772100
2023-01-29 04:00:00,1591.99000000,1593.58000000,1588.63000000,1590.39000000,4730.31300000,2023-01-29 04:29:59.999000,7525568.94340400,8574,2257.90680000,3592128.27431600
2023-01-29 04:30:00,1590.38000000,1595.27000000,1590.01000000,1594.36000000,4427.97730000,2023-01-29 04:59:59.999000,7052631.77558700,8299,2476.62760000,3944254.53401200
2023-01-29 05:00:00,1594.36000000,1595.80000000,1592.11000000,1592.35000000,3520.41520000,2023-01-29 05:29:59.999000,5612288.89768100,7541,1559.86920000,2486716.16077300
2023-01-29 05:30:00,1592.36000000,1599.22000000,1592.17000000,1598.31000000,4415.88390000,2023-01-29 05:59:59.999000,7049417.69201400,8067,2780.07960000,4438153.54319300
2023-01-29 06:00:00,1598.31000000,1599.39000000,1593.99000000,1595.10000000,3234.90760000,2023-01-29 06:29:59.999000,5164608.67461800,6368,1581.51030000,2524663.08139100
2023-01-29 06:30:00,1595.10000000,1597.68000000,1594.27000000,1597.33000000,3038.16870000,2023-01-29 06:59:59.999000,4849443.70714200,6425,1573.41930000,2511404.59398700
2023-01-29 07:00:00,1597.33000000,1597.90000000,1594.15000000,1595.06000000,4585.80960000,2023-01-29 07:29:59.999000,7320339.17800700,7513,1503.24900000,2399261.66079300
2023-01-29 07:30:00,1595.07000000,1596.93000000,1592.20000000,1593.97000000,4598.18590000,2023-01-29 07:59:59.999000,7331884.85448000,9730,1745.52810000,2783560.93645100
2023-01-29 08:00:00,1593.96000000,1595.42000000,1589.15000000,1589.57000000,3978.09150000,2023-01-29 08:29:59.999000,6334316.90157000,8087,1804.78230000,2873817.87436800
2023-01-29 08:30:00,1589.57000000,1593.18000000,1588.45000000,1592.58000000,4157.59640000,2023-01-29 08:59:59.999000,6614669.69032600,7605,1927.41170000,3066840.73451900
2023-01-29 09:00:00,1592.59000000,1594.88000000,1590.18000000,1590.18000000,2886.87670000,2023-01-29 09:29:59.999000,4599281.63418300,7184,1507.74940000,2402213.13230400
2023-01-29 09:30:00,1590.18000000,1592.18000000,1588.97000000,1590.46000000,4245.55860000,2023-01-29 09:59:59.999000,6753188.16333900,8369,1973.24870000,3138741.50902300
2023-01-29 10:00:00,1590.45000000,1602.72000000,1589.71000000,1600.90000000,6761.88570000,2023-01-29 10:29:59.999000,10795053.64830300,10082,3858.42360000,6158789.07027100
2023-01-29 10:30:00,1600.90000000,1604.95000000,1597.39000000,1600.99000000,11394.47090000,2023-01-29 10:59:59.999000,18240382.71949000,13697,6185.88330000,9902139.45505200
2023-01-29 11:00:00,1600.99000000,1615.85000000,1600.99000000,1608.30000000,20031.56490000,2023-01-29 11:29:59.999000,32237480.44412900,23492,11106.92450000,17875428.38701100
2023-01-29 11:30:00,1608.30000000,1612.15000000,1605.89000000,1611.85000000,9335.47400000,2023-01-29 11:59:59.999000,15019994.50860400,12698,4465.43590000,7184611.91051900
2023-01-29 12:00:00,1611.85000000,1619.79000000,1594.00000000,1608.60000000,25823.65940000,2023-01-29 12:29:59.999000,41454837.02174600,26410,14450.95690000,23202314.62035700
2023-01-29 12:30:00,1608.60000000,1610.45000000,1606.25000000,1609.08000000,5621.52140000,2023-01-29 12:59:59.999000,9040949.47899300,10220,2975.94850000,4785891.41080900
2023-01-29 13:00:00,1609.08000000,1610.45000000,1603.52000000,1606.92000000,5742.40890000,2023-01-29 13:29:59.999000,9231002.52487000,9733,2743.66300000,4410222.32051200
2023-01-29 13:30:00,1606.91000000,1613.33000000,1603.99000000,1610.62000000,9921.54080000,2023-01-29 13:59:59.999000,15965957.62717500,12478,5551.14720000,8932113.46927100
2023-01-29 14:00:00,1610.61000000,1626.64000000,1609.75000000,1617.11000000,24731.07860000,2023-01-29 14:29:59.999000,40025474.51602800,28083,13755.21890000,22263259.33800400
2023-01-29 14:30:00,1617.11000000,1617.96000000,1611.58000000,1612.83000000,11102.65900000,2023-01-29 14:59:59.999000,17921339.93546100,14311,4983.44600000,8043977.93831600
2023-01-29 15:00:00,1612.83000000,1616.10000000,1605.53000000,1609.02000000,9933.96500000,2023-01-29 15:29:59.999000,15999567.49575000,13945,4541.79580000,7314953.41500800
2023-01-29 15:30:00,1609.01000000,1616.08000000,1606.43000000,1615.48000000,9001.51550000,2023-01-29 15:59:59.999000,14500583.90656000,13412,4754.38370000,7659496.83704900
2023-01-29 16:00:00,1615.48000000,1616.19000000,1609.49000000,1611.63000000,8430.85500000,2023-01-29 16:29:59.999000,13598022.15209800,11130,3687.28400000,5946947.44668700
2023-01-29 16:30:00,1611.63000000,1614.48000000,1610.79000000,1611.44000000,5383.47680000,2023-01-29 16:59:59.999000,8679660.39146000,7921,2502.17950000,4033879.33839200
2023-01-29 17:00:00,1611.44000000,1615.55000000,1607.51000000,1611.30000000,8192.74050000,2023-01-29 17:29:59.999000,13205127.31525400,11120,4117.86280000,6636615.98626900
2023-01-29 17:30:00,1611.31000000,1618.14000000,1605.46000000,1614.09000000,11455.26020000,2023-01-29 17:59:59.999000,18466551.90384500,16554,6180.13740000,9963068.74697500
2023-01-29 18:00:00,1614.09000000,1618.26000000,1611.19000000,1615.54000000,8289.99390000,2023-01-29 18:29:59.999000,13386079.28044100,13170,4011.99920000,6478898.39768500
2023-01-29 18:30:00,1615.55000000,1621.81000000,1613.34000000,1617.75000000,9808.38780000,2023-01-29 18:59:59.999000,15865203.69037000,13980,4697.67990000,7598724.75235000
2023-01-29 19:00:00,1617.74000000,1618.34000000,1614.05000000,1618.14000000,4500.61730000,2023-01-29 19:29:59.999000,7273892.16477100,8858,2511.14310000,4058475.15384900
2023-01-29 19:30:00,1618.15000000,1633.31000000,1615.24000000,1629.37000000,28527.13980000,2023-01-29 19:59:59.999000,46407674.97148400,31605,14430.75740000,23472913.92143100
2023-01-29 20:00:00,1629.37000000,1655.12000000,1628.95000000,1650.80000000,43738.33460000,2023-01-29 20:29:59.999000,71894253.12732800,51691,21662.43520000,35619592.42721300
2023-01-29 20:30:00,1650.79000000,1660.00000000,1649.90000000,1653.86000000,24252.38460000,2023-01-29 20:59:59.999000,40129008.70523500,35056,11901.55460000,19693698.72255900
2023-01-29 21:00:00,1653.86000000,1655.37000000,1636.76000000,1647.82000000,23059.13100000,2023-01-29 21:29:59.999000,37957419.03922900,30219,10553.30620000,17364900.99715700
2023-01-29 21:30:00,1647.81000000,1648.65000000,1627.57000000,1635.68000000,15664.94950000,2023-01-29 21:59:59.999000,25663169.51674400,21283,7555.26250000,12375530.00716500
2023-01-29 22:00:00,1635.68000000,1641.06000000,1632.97000000,1640.08000000,6417.62690000,2023-01-29 22:29:59.999000,10503437.27942300,11481,3403.20060000,5570105.88085200
2023-01-29 22:30:00,1640.09000000,1647.11000000,1639.66000000,1643.37000000,7370.15550000,2023-01-29 22:59:59.999000,12117091.25158600,12224,3893.73100000,6401555.49910600
